date,observed,trend,seasonal,resid
2021-11-25,0.40480184930629715,0.41008114363160236,0.0012048187606658292,-0.006484113085971046
2021-11-26,0.40732646735813544,0.41359219742240066,0.0009010166223757746,-0.0071667466866410035
2021-11-27,0.4098510854099738,0.41714486281060775,0.001042245518860572,-0.008336022919494543
2021-11-28,0.4123757034618121,0.4207338243329632,0.0006871261118034946,-0.00904524698295456
2021-11-29,0.41490032151365047,0.42435908198946687,0.0003312446342404277,-0.009790005110056824
2021-11-30,0.4174249395654888,0.428020635780119,1.2689953574643401e-05,-0.010608386168204833
2021-12-01,0.41994955761732716,0.4317184857049193,-0.00030769837229965716,-0.011461229715292455
2021-12-02,0.4224741756691655,0.43545263176386795,-0.0005905568550709969,-0.012387899239631442
2021-12-03,0.42499879372100385,0.43922307395696486,-0.0008752489830508647,-0.013349031252910142
2021-12-04,0.4300792915547967,0.44302981228421023,-0.00097921191467102,-0.01197130881474253
2021-12-05,0.43515978938858946,0.4468728467456037,-0.0010850084914996794,-0.010628048865514543
2021-12-06,0.4402402872223823,0.45075217734114553,-0.001325726679799326,-0.00918616343896392
2021-12-07,0.44532078505617506,0.4546678040708356,-0.0015682785133074968,-0.007778740501353066
2021-12-08,0.4504012828899679,0.45861972693467407,-0.001452612209149054,-0.006765831835557121
2021-12-09,0.45548178072376067,0.46260794593266086,-0.0013387795501990877,-0.005787385658701105
2021-12-10,0.4605622785575535,0.46663246106479594,-0.0013465411563680033,-0.0047236413508744465
2021-12-11,0.46564277639134627,0.47069759010272233,-0.0013550876823151684,-0.003699726029060892
2021-12-12,0.4707232742251391,0.4748076508180832,-0.0008588650522543809,-0.0032255115406897026
2021-12-13,0.4758037720589319,0.47896072814235147,-0.0011505387989656144,-0.0020064172844539785
2021-12-14,0.4808842698927247,0.483154907007,-0.0013772833511390779,-0.0008933537631361978
2021-12-15,0.48596476772651753,0.4873901874120288,-0.0015980114903915315,0.0001725918048802893
2021-12-16,0.4910452655603103,0.49166656935743774,-0.0015712861703004134,0.0009499823731729763
2021-12-17,0.49612576339410314,0.495984052843227,-0.0015385444372882262,0.0016802549881643658
2021-12-18,0.5012062612278959,0.5003426378693965,-0.0012529182142518832,0.0021165415727513156
2021-12-19,0.5062867590616887,0.5047423244359461,-0.000961275578294471,0.002505710204037079
2021-12-20,0.5108782342755119,0.5091831125428762,-0.00069621803741394,0.0023913397700496917
2021-12-21,0.5154697094893351,0.5136650021901865,-0.0004251440836123177,0.002229851382760929
2021-12-22,0.5200611847031584,0.5181879933778771,-5.487647696104582e-05,0.001928067802242344
2021-12-23,0.5246526599169816,0.5227520861059478,0.00032140754261125433,0.001579166268422558
2021-12-24,0.5292441351308048,0.5273572803743989,0.0004141657921284947,0.0014726889642774365
2021-12-25,0.533835610344628,0.5320035761832301,0.0005129404545667338,0.0013190937068311437
2021-12-26,0.5384270855584512,0.5366909735324417,0.00029021865661899644,0.0014458933693905433
2021-12-27,0.5430185607722744,0.5413916911200556,7.167174766898397e-05,0.0015551979045498258
2021-12-28,0.5476100359860977,0.5460779476440942,0.00013209633186978987,0.0013999920101336783
2021-12-29,0.5522015111999209,0.5507294905879525,0.00019296932037764022,0.0012790512915907429
2021-12-30,0.5567929864137441,0.5553260674350253,0.00038931645988332176,0.0010776025188354347
2021-12-31,0.5613844616275673,0.5598676781853125,0.0005842270429285968,0.0009325563993262131
2022-01-01,0.5659759368413905,0.5643543228388139,0.0009929368430819732,0.0006286771594945703
2022-01-02,0.5705674120552138,0.5687860013955299,0.00140021008677501,0.0003812005729088364
2022-01-03,0.575158887269037,0.5731627138554601,0.0016895138843296435,0.00030665952924718593
2022-01-04,0.5797503624828602,0.5774844602186047,0.001977381125423956,0.0002885211388315369
2022-01-05,0.5841656513921902,0.5817512404849636,0.0022520660564250236,0.00016234485080158156
2022-01-06,0.5885809403015202,0.585963054654537,0.0025253144309656888,9.257121601748694e-05
2022-01-07,0.5929962292108502,0.5901199027273248,0.0022427833860008675,0.000633543097524448
2022-01-08,0.5974115181201802,0.5942217847033272,0.0019588157845756467,0.0012309176322773778
2022-01-09,0.6018268070295103,0.5982687005825438,0.001582535550850893,0.0019755708961156316
